🕘️更新时间,#genre#
Jiangxi City Channel,http://10.0.0.66:8080/hls/432d61182504362c400b9c4c.m3u8
Jiangxi Economy & Life Channel,http://10.0.0.66:8080/hls/375721d095856ecb9808e6b0.m3u8
Jiangxi Movie Channel,http://10.0.0.66:8080/hls/a13a3403cc8b5344b23ac2da.m3u8
Jiangxi Public & Agriculture Channel,http://10.0.0.66:8080/hls/13ff3deed683ddcd50678d8d.m3u8
Jilin City Channel,http://10.0.0.66:8080/hls/6e8d3ff47f17c1351d687b90.m3u8
Jilin Lifestyle Channel,http://10.0.0.66:8080/hls/22ed32fe11c5be16857133f2.m3u8
Jilin Movie Channel,http://10.0.0.66:8080/hls/7d634d2076352ea5d0838e4d.m3u8
Jilin Rural Channel,http://10.0.0.66:8080/hls/b151edde7b6658c333453036.m3u8
Lanzhou Comprehensive News Channel,http://10.0.0.66:8080/hls/4d0d6bc0fac50c0661f35f7c.m3u8
Lanzhou Culture & Tourism Channel,http://10.0.0.66:8080/hls/4a653efa571ebf50ea401a4a.m3u8
Liangshan TV [Not 24/7],http://10.0.0.66:8080/hls/8559a6995b752d3cf9f077e5.m3u8
Nanchang News & Generalist Channel,http://10.0.0.66:8080/hls/eeec0c623a3b13379f70dee3.m3u8
Nei Monggol TV (1080i) [Not 24/7],http://10.0.0.66:8080/hls/26688577905a27d4633de1fc.m3u8
Nei Monggol TV 2 Mongolian Culture Channel (1080i) [Not 24/7],http://10.0.0.66:8080/hls/fca98b3dffcdfeaaa6a49049.m3u8
QTV-1,http://10.0.0.66:8080/hls/a95cec414077f35be2388460.m3u8
QTV-2,http://10.0.0.66:8080/hls/116444601f4a9683d5d012ec.m3u8
QTV-3,http://10.0.0.66:8080/hls/3b6a4de2e27151819d08c0fa.m3u8
QTV-4,http://10.0.0.66:8080/hls/fcc603369796792bbd7e5bd2.m3u8
QTV-5,http://10.0.0.66:8080/hls/54755bc42373143a1cc86bcb.m3u8
QTV-6,http://10.0.0.66:8080/hls/a39ef24bbf330cd9cb168cdb.m3u8
Shenzhen Satellite TV (2160p),http://10.0.0.66:8080/hls/d4253f0e131a74c8841d2575.m3u8
Siping TV,http://10.0.0.66:8080/hls/b7257cbedf69c869fc130bfe.m3u8
Tonghua TV (1080p),http://10.0.0.66:8080/hls/0abd548c934386a9783b422c.m3u8
TV BRICS Chinese (1080p),http://10.0.0.66:8080/hls/ce88d0a6d60a59eb6d3ce73c.m3u8
VOA美国之音 (1080p),http://10.0.0.66:8080/hls/6a0c7adaf9436d871b4a7f85.m3u8
Xinjiang TV 1,http://10.0.0.66:8080/hls/eda888691f7ebcd80d6390ae.m3u8
Xinjiang TV 2,http://10.0.0.66:8080/hls/e37f143e7b25940c44cfe956.m3u8
